fecha,nemo,razonsocial,preciocierre,variacionprecio,monto,cantidad,segmentacion,pertenececolcap,preciocolcap,variacioncolcap
Dec 30 2015,CEMARGOS,CEMENTOS ARGOS S.A.,9720,0.0286 ,511991620,53152,continua,SI,1153.71,0.004755062
Jan 04 2016,CEMARGOS,CEMENTOS ARGOS S.A.,9200,-0.0535,892130470,94862,continua,SI,1129.71,-0.020802455
Jan 05 2016,CEMARGOS,CEMENTOS ARGOS S.A.,9330,0.0141 ,1751093500,187436,continua,SI,1142.4,0.011232971
Jan 06 2016,CEMARGOS,CEMENTOS ARGOS S.A.,9700,0.0397 ,1338091190,143243,continua,SI,1129.32,-0.01144958
Jan 07 2016,CEMARGOS,CEMENTOS ARGOS S.A.,9010,-0.0711,1081111900,118809,continua,SI,1105.73,-0.020888676
Jan 08 2016,CEMARGOS,CEMENTOS ARGOS S.A.,9110,0.0111 ,1023506410,112654,continua,SI,1098.32,-0.006701455
Jan 12 2016,CEMARGOS,CEMENTOS ARGOS S.A.,8870,-0.0263,1802332020,200730,continua,SI,1079.28,-0.017335567
Jan 13 2016,CEMARGOS,CEMENTOS ARGOS S.A.,9210,0.0383 ,1261402880,137313,continua,SI,1096.68,0.016121859
Jan 14 2016,CEMARGOS,CEMENTOS ARGOS S.A.,9600,0.0423 ,4263960590,449470,continua,SI,1128.65,0.029151621
Jan 15 2016,CEMARGOS,CEMENTOS ARGOS S.A.,9350,-0.0260,1477888050,156809,continua,SI,1103.26,-0.022495902
Jan 18 2016,CEMARGOS,CEMENTOS ARGOS S.A.,9200,-0.0160,3340815240,362949,continua,SI,1078.69,-0.022270362
Jan 19 2016,CEMARGOS,CEMENTOS ARGOS S.A.,9500,0.0326 ,2292878600,244025,continua,SI,1100.3,0.020033559
Jan 20 2016,CEMARGOS,CEMENTOS ARGOS S.A.,9590,0.0095 ,2552450530,270407,continua,SI,1109.33,0.008206853
Jan 21 2016,CEMARGOS,CEMENTOS ARGOS S.A.,9430,-0.0167,1858991190,195574,continua,SI,1124.79,0.01393634
Jan 22 2016,CEMARGOS,CEMENTOS ARGOS S.A.,9450,0.0021 ,8688366000,919368,continua,SI,1151.62,0.023853342
Jan 25 2016,CEMARGOS,CEMENTOS ARGOS S.A.,9450,0.0000 ,1036063230,109483,continua,SI,1139.32,-0.010680606
Jan 26 2016,CEMARGOS,CEMENTOS ARGOS S.A.,9370,-0.0085,1.78372E+11,19169756,continua,SI,1146.36,0.006179124
Jan 27 2016,CEMARGOS,CEMENTOS ARGOS S.A.,9560,0.0203 ,3174693870,336837,continua,SI,1153.46,0.006193517
Jan 28 2016,CEMARGOS,CEMENTOS ARGOS S.A.,9670,0.0115 ,1637040310,170016,continua,SI,1165.38,0.010334125
Jan 29 2016,CEMARGOS,CEMENTOS ARGOS S.A.,9800,0.0134 ,8398644220,858629,continua,SI,1175.09,0.008332046
Feb 01 2016,CEMARGOS,CEMENTOS ARGOS S.A.,9700,-0.0102,665643900,68695,continua,SI,1180.72,0.004791122
Feb 02 2016,CEMARGOS,CEMENTOS ARGOS S.A.,9500,-0.0206,4832847020,509218,continua,SI,1165.77,-0.012661766
Feb 03 2016,CEMARGOS,CEMENTOS ARGOS S.A.,9640,0.0147 ,3164443960,328266,continua,SI,1180.66,0.012772674
Feb 04 2016,CEMARGOS,CEMENTOS ARGOS S.A.,9730,0.0093 ,2794023100,288100,continua,SI,1188.73,0.00683516
Feb 05 2016,CEMARGOS,CEMENTOS ARGOS S.A.,9800,0.0072 ,2291779550,233554,continua,SI,1195.11,0.005367072
